CLASS, VARIABLE, TYPE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.apache.batik.ext.awt.geom.PathLength, path, java.awt.Shape, 14, 14, 14, 14
org.apache.batik.ext.awt.geom.PathLength, pathLength, float, 2946, 1339, 14, 14
org.apache.batik.ext.awt.geom.PathLength, segmentIndexes, [I, 70, 14, 14, 14
org.apache.batik.ext.awt.geom.PathLength, segments, java.util.List, 18015, 14, 14, 14
org.apache.batik.transcoder.TranscoderOutput, ostream, java.io.OutputStream, 6, 3, 3, 3
org.apache.batik.transcoder.TranscoderOutput, document, org.w3c.dom.Document, 0, 0, 0, 3
org.apache.batik.transcoder.TranscoderOutput, writer, java.io.Writer, 0, 0, 0, 3
org.apache.batik.transcoder.TranscoderOutput, xmlFilter, org.xml.sax.XMLFilter, 0, 0, 0, 3
org.apache.batik.transcoder.TranscoderOutput, uri, java.lang.String, 0, 0, 0, 3
org.apache.batik.css.parser.CSSSACMediaList, length, int, 4742, 3, 5, 8
org.apache.batik.css.parser.CSSSACMediaList, list, [Ljava.lang.String;, 6, 8, 8, 8
org.apache.batik.dom.svg.SVGOMDocument, referrer, java.lang.String, 0, 3, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, localizableSupport, org.apache.batik.i18n.LocalizableSupport, 0, 3, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, readonly, boolean, 23, 0, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, mainAnimatedAttributeListener, org.apache.batik.dom.svg.AnimatedAttributeListener, 12493, 3, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, cssNavigableDocumentListeners, java.util.HashMap, 3, 3, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, url, java.net.URL, 3, 6, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, isSVG12, boolean, 6, 0, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, animatedAttributeListeners, java.util.LinkedList, 3, 3, 3, 3
org.apache.batik.dom.svg.SVGOMPathElement, d, org.apache.batik.dom.svg.SVGOMAnimatedPathData, 1870, 2037, 2037, 2037
org.apache.crimson.jaxp.SAXParserFactoryImpl, features, java.util.Hashtable, 3, 0, 1, 1
org.apache.batik.dom.svg.SVGOMFEMorphologyElement, in, org.apache.batik.dom.svg.SVGOMAnimatedString, 0, 1, 1, 1
org.apache.batik.dom.svg.SVGOMFEMorphologyElement, operator, org.apache.batik.dom.svg.SVGOMAnimatedEnumeration, 0, 1, 1, 1
org.apache.batik.dom.svg.AbstractSVGPreserveAspectRatio$PreserveAspectRatioParserHandler, meetOrSlice, short, 5, 10, 5, 5
org.apache.batik.dom.svg.AbstractSVGPreserveAspectRatio$PreserveAspectRatioParserHandler, this$0, org.apache.batik.dom.svg.AbstractSVGPreserveAspectRatio, 0, 5, 5, 5
org.apache.batik.dom.svg.AbstractSVGPreserveAspectRatio$PreserveAspectRatioParserHandler, align, short, 5, 10, 5, 5
org.apache.batik.bridge.UserAgentViewport, userAgent, org.apache.batik.bridge.UserAgent, 0, 3, 3, 3
org.apache.batik.gvt.TextNode, primitiveBounds, java.awt.geom.Rectangle2D, 864, 1282, 212, 212
org.apache.batik.gvt.TextNode, outline, java.awt.Shape, 0, 1072, 212, 212
org.apache.batik.gvt.TextNode, textPainter, org.apache.batik.gvt.TextPainter, 420, 212, 212, 212
org.apache.batik.gvt.TextNode, aci, java.text.AttributedCharacterIterator, 634, 212, 212, 212
org.apache.batik.gvt.TextNode, endMark, org.apache.batik.gvt.text.Mark, 0, 212, 212, 212
org.apache.batik.gvt.TextNode, textRuns, java.util.List, 630, 422, 212, 212
org.apache.batik.gvt.TextNode, location, java.awt.geom.Point2D, 210, 424, 212, 212
org.apache.batik.gvt.TextNode, text, java.lang.String, 0, 212, 212, 212
org.apache.batik.gvt.TextNode, beginMark, org.apache.batik.gvt.text.Mark, 0, 212, 212, 212
org.apache.batik.gvt.TextNode, geometryBounds, java.awt.geom.Rectangle2D, 0, 1072, 212, 212
org.dacapo.parser.Config$ThreadModel, description, java.lang.String, 0, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, currentRaster, java.awt.image.WritableRaster, 3, 9, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, lastCache, java.lang.ref.SoftReference, 3, 6, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, isDoubleBuffered, boolean, 3, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, offScreenWidth, int, 6, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, usr2dev, java.awt.geom.AffineTransform, 9, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, renderingHints, java.awt.RenderingHints, 6, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, rootCR, org.apache.batik.ext.awt.image.rendered.CachableRed, 27, 9, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, currentOffScreen, java.awt.image.BufferedImage, 6, 9, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, workingRaster, java.awt.image.WritableRaster, 12, 9, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, workingOffScreen, java.awt.image.BufferedImage, 6, 9, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, rootGN, org.apache.batik.gvt.GraphicsNode, 6, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, currentBaseRaster, java.awt.image.WritableRaster, 3, 6, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, workingBaseRaster, java.awt.image.WritableRaster, 15, 6, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, offScreenHeight, int, 6, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, rootFilter, org.apache.batik.ext.awt.image.renderable.Filter, 6, 6, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, lastCR, java.lang.ref.SoftReference, 3, 3, 3, 3
org.apache.batik.dom.svg.SVGOMAnimatedNumberList$BaseSVGNumberList, this$0, org.apache.batik.dom.svg.SVGOMAnimatedNumberList, 1050, 210, 210, 210
org.apache.batik.ext.awt.image.renderable.ComponentTransferRable8Bit, txfFunc, [Lorg.apache.batik.ext.awt.image.TransferFunction;, 9, 1, 1, 1
org.apache.batik.ext.awt.image.renderable.ComponentTransferRable8Bit, functions, [Lorg.apache.batik.ext.awt.image.ComponentTransferFunction;, 13, 1, 1, 1
org.apache.batik.dom.svg.SVGStylableElement$OverrideStyleDeclaration, this$0, org.apache.batik.dom.svg.SVGStylableElement, 0, 2383, 2383, 2383
org.apache.batik.ext.awt.geom.PathLength$PathSegment, segType, int, 508, 1353, 1353, 1353
org.apache.batik.ext.awt.geom.PathLength$PathSegment, x, float, 635, 1353, 1353, 1353
org.apache.batik.ext.awt.geom.PathLength$PathSegment, length, float, 15519, 1353, 1353, 1353
org.apache.batik.ext.awt.geom.PathLength$PathSegment, y, float, 635, 1353, 1353, 1353
org.apache.batik.ext.awt.geom.PathLength$PathSegment, index, int, 0, 1353, 1353, 1353
org.apache.batik.css.parser.Parser, localizableSupport, org.apache.batik.i18n.LocalizableSupport, 0, 3, 3, 3
org.apache.batik.css.parser.Parser, current, int, 8630, 2307, 3, 3
org.apache.batik.css.parser.Parser, documentURI, java.lang.String, 5, 7, 3, 3
org.apache.batik.css.parser.Parser, documentHandler, org.w3c.css.sac.DocumentHandler, 615, 45, 3, 3
org.apache.batik.css.parser.Parser, selectorFactory, org.w3c.css.sac.SelectorFactory, 272, 45, 3, 3
org.apache.batik.css.parser.Parser, scanner, org.apache.batik.css.parser.Scanner, 5659, 106, 3, 3
org.apache.batik.css.parser.Parser, conditionFactory, org.w3c.css.sac.ConditionFactory, 127, 45, 3, 3
org.apache.batik.css.parser.Parser, errorHandler, org.w3c.css.sac.ErrorHandler, 0, 3, 3, 3
org.apache.batik.css.parser.Parser, pseudoElement, java.lang.String, 145, 145, 3, 3
org.apache.batik.css.engine.value.ComputedValue, computedValue, org.apache.batik.css.engine.value.Value, 465, 214, 214, 214
org.apache.batik.css.engine.value.ComputedValue, cascadedValue, org.apache.batik.css.engine.value.Value, 0, 214, 214, 214
org.apache.batik.ext.awt.image.rendered.TileMap$TileMapLRUMember$RasterSoftRef, this$0, org.apache.batik.ext.awt.image.rendered.TileMap$TileMapLRUMember, 0, 62, 62, 62
org.apache.batik.bridge.SVGImageElementBridge, hitCheckChildren, boolean, 5, 8, 3, 3
org.apache.batik.bridge.SVGImageElementBridge, listener, org.w3c.dom.events.EventListener, 0, 3, 3, 3
org.apache.batik.bridge.SVGImageElementBridge, imgDocument, org.w3c.dom.svg.SVGDocument, 0, 0, 0, 3
org.apache.batik.bridge.SVGImageElementBridge, subCtx, org.apache.batik.bridge.BridgeContext, 0, 3, 3, 3
org.apache.batik.gvt.RootGraphicsNode, treeGraphicsNodeChangeListeners, java.util.List, 27076, 6, 3, 3
org.apache.batik.dom.svg.SVGOMFontElement, externalResourcesRequired, org.apache.batik.dom.svg.SVGOMAnimatedBoolean, 0, 4, 4, 4
org.apache.batik.css.engine.CSSEngine$1, val$result, org.apache.batik.css.engine.StyleMap, 10, 2383, 2383, 2383
org.apache.batik.css.engine.CSSEngine$1, this$0, org.apache.batik.css.engine.CSSEngine, 40, 2383, 2383, 2383
org.apache.batik.dom.svg.SVGOMRectElement, rx, org.apache.batik.dom.svg.AbstractSVGAnimatedLength, 83, 28, 28, 28
org.apache.batik.dom.svg.SVGOMRectElement, ry, org.apache.batik.dom.svg.AbstractSVGAnimatedLength, 83, 28, 28, 28
org.apache.batik.dom.svg.SVGOMRectElement, x, org.apache.batik.dom.svg.SVGOMAnimatedLength, 27, 28, 28, 28
org.apache.batik.dom.svg.SVGOMRectElement, width, org.apache.batik.dom.svg.SVGOMAnimatedLength, 27, 28, 28, 28
org.apache.batik.dom.svg.SVGOMRectElement, y, org.apache.batik.dom.svg.SVGOMAnimatedLength, 27, 28, 28, 28
org.apache.batik.dom.svg.SVGOMRectElement, height, org.apache.batik.dom.svg.SVGOMAnimatedLength, 27, 28, 28, 28
org.apache.batik.css.parser.CSSLexicalUnit$IntegerLexicalUnit, value, int, 306, 306, 306, 306
org.apache.batik.dom.GenericComment, readonly, boolean, 27, 0, 27, 27
org.dacapo.harness.Batik, args, [Ljava.lang.String;, 1, 1, 1, 1
org.dacapo.harness.Batik, constructor, java.lang.reflect.Constructor, 1, 1, 1, 1
org.apache.batik.ext.awt.image.rendered.TranslateRed, deltaX, int, 3, 3, 3, 3
org.apache.batik.ext.awt.image.rendered.TranslateRed, deltaY, int, 3, 3, 3, 3
org.apache.batik.gvt.text.BidiAttributedCharacterIterator, newCharOrder, [I, 3221, 238, 238, 238
org.apache.batik.gvt.text.BidiAttributedCharacterIterator, reorderedACI, java.text.AttributedCharacterIterator, 40529, 238, 238, 238
org.apache.batik.gvt.text.BidiAttributedCharacterIterator, frc, java.awt.font.FontRenderContext, 0, 238, 238, 238
org.apache.batik.gvt.text.BidiAttributedCharacterIterator, chunkStart, int, 0, 238, 238, 238
org.apache.batik.dom.svg.SVGOMAnimatedLengthList, emptyAllowed, boolean, 0, 1140, 1140, 1140
org.apache.batik.dom.svg.SVGOMAnimatedLengthList, defaultValue, java.lang.String, 0, 1140, 1140, 1140
org.apache.batik.dom.svg.SVGOMAnimatedLengthList, baseVal, org.apache.batik.dom.svg.SVGOMAnimatedLengthList$BaseSVGLengthList, 4744, 844, 976, 1140
org.apache.batik.dom.svg.SVGOMAnimatedLengthList, animVal, org.apache.batik.dom.svg.SVGOMAnimatedLengthList$AnimSVGLengthList, 2528, 844, 844, 1140
org.apache.batik.dom.svg.SVGOMAnimatedLengthList, changing, boolean, 528, 0, 528, 1140
org.apache.batik.dom.svg.SVGOMAnimatedLengthList, direction, short, 0, 1140, 1140, 1140
org.apache.crimson.parser.Parser2$NameCache, hashtable, [Lorg.apache.crimson.parser.Parser2$NameCacheEntry;, 16768, 3, 3, 3
org.apache.batik.dom.svg.SVGOMDocument$AnimAttrListener, this$0, org.apache.batik.dom.svg.SVGOMDocument, 4973, 3, 3, 3
org.apache.batik.dom.svg.SVGOMImageElement, x, org.apache.batik.dom.svg.SVGOMAnimatedLength, 10, 5, 5, 5
org.apache.batik.dom.svg.SVGOMImageElement, width, org.apache.batik.dom.svg.SVGOMAnimatedLength, 10, 5, 5, 5
org.apache.batik.dom.svg.SVGOMImageElement, preserveAspectRatio, org.apache.batik.dom.svg.SVGOMAnimatedPreserveAspectRatio, 5, 10, 5, 5
org.apache.batik.dom.svg.SVGOMImageElement, y, org.apache.batik.dom.svg.SVGOMAnimatedLength, 10, 5, 5, 5
org.apache.batik.dom.svg.SVGOMImageElement, height, org.apache.batik.dom.svg.SVGOMAnimatedLength, 10, 5, 5, 5
org.apache.crimson.parser.Parser2$DocLocator, this$0, org.apache.crimson.parser.Parser2, 0, 3, 3, 3
org.apache.batik.ext.awt.image.rendered.Any2LsRGBRed, srcIssRGB, boolean, 2, 4, 2, 2
org.apache.batik.dom.util.HashTable$Entry, next, org.apache.batik.dom.util.HashTable$Entry, 0, 117, 117, 117
org.apache.batik.dom.util.HashTable$Entry, value, java.lang.Object, 0, 117, 117, 117
org.apache.batik.dom.util.HashTable$Entry, hash, int, 0, 117, 117, 117
org.apache.batik.dom.util.HashTable$Entry, key, java.lang.Object, 0, 117, 117, 117
org.apache.batik.ext.awt.image.codec.png.IDATOutputStream, bytesWritten, int, 5439, 1382, 3, 3
org.apache.batik.ext.awt.image.codec.png.IDATOutputStream, segmentLength, int, 2604, 3, 3, 3
org.apache.batik.ext.awt.image.codec.png.IDATOutputStream, buffer, [B, 1456, 3, 3, 3
org.apache.commons.cli.CommandLine, args, java.util.List, 4, 1, 1, 1
org.apache.commons.cli.CommandLine, options, java.util.List, 43, 1, 1, 1
org.apache.batik.dom.svg.SVGOMStyleElement$DOMCharacterDataModifiedListener, this$0, org.apache.batik.dom.svg.SVGOMStyleElement, 0, 2, 2, 2
org.apache.batik.parser.PathParser, pathHandler, org.apache.batik.parser.PathHandler, 53495, 3768, 1884, 1884
org.apache.batik.gvt.font.GVTLineMetrics, leading, float, 0, 476, 476, 476
org.apache.batik.gvt.font.GVTLineMetrics, overlineOffset, float, 476, 476, 476, 476
org.apache.batik.gvt.font.GVTLineMetrics, baselineIndex, int, 0, 476, 476, 476
org.apache.batik.gvt.font.GVTLineMetrics, numChars, int, 0, 476, 476, 476
org.apache.batik.gvt.font.GVTLineMetrics, underlineOffset, float, 476, 476, 476, 476
org.apache.batik.gvt.font.GVTLineMetrics, strikethroughThickness, float, 476, 476, 476, 476
org.apache.batik.gvt.font.GVTLineMetrics, descent, float, 714, 476, 476, 476
org.apache.batik.gvt.font.GVTLineMetrics, overlineThickness, float, 476, 476, 476, 476
org.apache.batik.gvt.font.GVTLineMetrics, ascent, float, 1428, 476, 476, 476
org.apache.batik.gvt.font.GVTLineMetrics, strikethroughOffset, float, 476, 476, 476, 476
org.apache.batik.gvt.font.GVTLineMetrics, underlineThickness, float, 952, 476, 476, 476
org.apache.batik.gvt.font.GVTLineMetrics, baselineOffsets, [F, 3332, 476, 476, 476
org.apache.batik.gvt.font.GVTLineMetrics, height, float, 0, 476, 476, 476
org.apache.batik.script.InterpreterPool, factories, java.util.Map, 1, 1, 1, 1
org.apache.batik.gvt.event.GraphicsNodeChangeEvent, changeSource, org.apache.batik.gvt.GraphicsNode, 0, 15597, 2373, 4746
org.apache.batik.css.engine.value.svg.EnableBackgroundManager, orientation, int, 0, 0, 0, 1
org.apache.batik.gvt.StrokeShapePainter, shape, java.awt.Shape, 4915, 1903, 1903, 1903
org.apache.batik.gvt.StrokeShapePainter, paint, java.awt.Paint, 5282, 1903, 1903, 1903
org.apache.batik.gvt.StrokeShapePainter, strokedShape, java.awt.Shape, 3012, 3409, 1903, 1903
org.apache.batik.gvt.StrokeShapePainter, stroke, java.awt.Stroke, 6403, 1903, 1903, 1903
org.apache.crimson.jaxp.SAXParserImpl, parser, org.xml.sax.Parser, 0, 3, 3, 3
org.apache.crimson.jaxp.SAXParserImpl, validating, boolean, 6, 6, 3, 3
org.apache.crimson.jaxp.SAXParserImpl, xmlReader, org.xml.sax.XMLReader, 9, 3, 3, 3
org.apache.crimson.jaxp.SAXParserImpl, namespaceAware, boolean, 3, 6, 3, 3
org.apache.batik.dom.svg.AbstractSVGAnimatedLength$AnimSVGLength, this$0, org.apache.batik.dom.svg.AbstractSVGAnimatedLength, 480, 220, 220, 220
org.apache.batik.dom.svg.AbstractSVGPathSegList$SVGPathSegCurvetoCubicItem, this$0, org.apache.batik.dom.svg.AbstractSVGPathSegList, 0, 1763, 1763, 1763
org.apache.batik.bridge.ViewBox$ViewHandler, hasId, boolean, 0, 0, 0, 8
org.apache.batik.bridge.ViewBox$ViewHandler, hasPreserveAspectRatio, boolean, 0, 8, 8, 8
org.apache.batik.bridge.ViewBox$ViewHandler, hasTransform, boolean, 0, 0, 0, 8
org.apache.batik.bridge.ViewBox$ViewHandler, viewBox, [F, 0, 0, 0, 8
org.apache.batik.bridge.ViewBox$ViewHandler, meet, boolean, 0, 16, 8, 8
org.apache.batik.bridge.ViewBox$ViewHandler, hasZoomAndPanParams, boolean, 0, 0, 0, 8
org.apache.batik.bridge.ViewBox$ViewHandler, viewTargetParams, java.lang.String, 0, 0, 0, 8
org.apache.batik.bridge.ViewBox$ViewHandler, hasViewBox, boolean, 0, 0, 0, 8
org.apache.batik.bridge.ViewBox$ViewHandler, isMagnify, boolean, 0, 0, 0, 8
org.apache.batik.bridge.ViewBox$ViewHandler, hasViewTargetParams, boolean, 0, 0, 0, 8
org.apache.batik.bridge.ViewBox$ViewHandler, id, java.lang.String, 0, 0, 0, 8
org.apache.batik.bridge.ViewBox$ViewHandler, align, short, 0, 8, 8, 8
org.apache.batik.ext.awt.image.rendered.TileMap$TileMapLRUMember, parent, java.lang.ref.SoftReference, 0, 62, 62, 62
org.apache.batik.ext.awt.image.rendered.TileMap$TileMapLRUMember, pt, java.awt.Point, 0, 62, 62, 62
org.apache.batik.apps.rasterizer.DestinationType, extension, java.lang.String, 3, 4, 4, 4
org.apache.batik.apps.rasterizer.DestinationType, code, int, 1, 4, 4, 4
org.apache.batik.apps.rasterizer.DestinationType, type, java.lang.String, 0, 4, 4, 4
org.apache.batik.dom.util.HashTableStack, current, org.apache.batik.dom.util.HashTableStack$Link, 8557, 13, 3, 3
org.apache.batik.ext.awt.image.CompositeRule, k1, float, 0, 0, 0, 9
org.apache.batik.ext.awt.image.CompositeRule, k2, float, 0, 0, 0, 9
