About to transcode 3 SVG file(s)

Converting mapWaadt.svg to /home/mariocesar/Descargas/disl-2.1/bin/./scratch/mapWaadt.png ... ... success
Converting mapSpain.svg to /home/mariocesar/Descargas/disl-2.1/bin/./scratch/mapSpain.png ... ... success
Converting sydney.svg to /home/mariocesar/Descargas/disl-2.1/bin/./scratch/sydney.png ... ... success
CLASS, VARIABLE, READS, WRITES, INSTANCES-USE-VARIABLE, INSTANCES-TOTAL
org.apache.batik.dom.svg.AbstractSVGAnimatedLength, defaultValue, 0, 0, 0, 583
org.apache.batik.dom.svg.AbstractSVGAnimatedLength, nonNegative, 0, 583, 583, 583
org.apache.batik.dom.svg.AbstractSVGAnimatedLength, hasAnimVal, 191, 0, 191, 583
org.apache.batik.dom.svg.AbstractSVGAnimatedLength, changing, 191, 0, 191, 583
org.apache.batik.dom.svg.AbstractSVGAnimatedLength, baseVal, 671, 220, 245, 583
org.apache.batik.dom.svg.AbstractSVGAnimatedLength, animVal, 480, 220, 220, 583
org.apache.batik.dom.svg.AbstractSVGAnimatedLength, direction, 440, 583, 583, 583
org.apache.batik.css.parser.Scanner, blankCharacters, 2308, 2308, 53, 53
org.apache.batik.css.parser.Scanner, current, 44586, 8791, 53, 53
org.apache.batik.css.parser.Scanner, reader, 8738, 53, 53, 53
org.apache.batik.css.parser.Scanner, start, 1794, 2426, 53, 53
org.apache.batik.css.parser.Scanner, end, 897, 2307, 53, 53
org.apache.batik.css.parser.Scanner, buffer, 22887, 53, 53, 53
org.apache.batik.css.parser.Scanner, position, 26723, 10995, 53, 53
org.apache.batik.css.parser.Scanner, type, 4759, 2307, 53, 53
org.apache.batik.bridge.BridgeContext$CSSEngineUserAgentWrapper, ua, 0, 3, 3, 3
org.apache.batik.dom.svg.AbstractSVGTransformList$TransformListBuilder, this$0, 9, 9, 9, 9
org.apache.batik.dom.svg.AbstractSVGTransformList$TransformListBuilder, listHandler, 27, 9, 9, 9
org.apache.batik.parser.PreserveAspectRatioParser, current, 169, 169, 13, 13
org.apache.batik.parser.PreserveAspectRatioParser, reader, 169, 0, 13, 13
org.apache.batik.parser.PreserveAspectRatioParser, preserveAspectRatioHandler, 52, 26, 13, 13
org.apache.crimson.parser.EntityDecl, buf, 0, 0, 0, 18
org.apache.commons.cli.PosixParser, eatTheRest, 1, 1, 1, 1
org.apache.commons.cli.PosixParser, currentOption, 0, 0, 0, 1
org.apache.commons.cli.PosixParser, options, 0, 1, 1, 1
org.apache.commons.cli.PosixParser, tokens, 4, 1, 1, 1
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, path, 54659, 1884, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, types, 164287, 9658, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, numVals, 163172, 107542, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, cx, 1394, 49727, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, cy, 1394, 49727, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, numSeg, 195664, 53495, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, values, 217518, 9781, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, mx, 1394, 2074, 1884, 1884
org.apache.batik.ext.awt.geom.ExtendedGeneralPath, my, 1394, 2074, 1884, 1884
org.apache.batik.i18n.LocaleGroup, locale, 104, 0, 1, 1
org.apache.batik.css.dom.CSSOMSVGStyleDeclaration, cssEngine, 0, 2383, 2383, 2383
org.apache.batik.css.dom.CSSOMSVGStyleDeclaration, this$0, 0, 0, 0, 2383
org.apache.batik.ext.awt.geom.PathLength, initialised, 282, 28, 14, 14
org.apache.batik.ext.awt.geom.PathLength, path, 14, 14, 14, 14
org.apache.batik.ext.awt.geom.PathLength, pathLength, 2946, 1339, 14, 14
org.apache.batik.ext.awt.geom.PathLength, segmentIndexes, 70, 14, 14, 14
org.apache.batik.ext.awt.geom.PathLength, segments, 18015, 14, 14, 14
org.apache.batik.transcoder.TranscoderOutput, ostream, 6, 3, 3, 3
org.apache.batik.transcoder.TranscoderOutput, document, 0, 0, 0, 3
org.apache.batik.transcoder.TranscoderOutput, writer, 0, 0, 0, 3
org.apache.batik.transcoder.TranscoderOutput, xmlFilter, 0, 0, 0, 3
org.apache.batik.transcoder.TranscoderOutput, uri, 0, 0, 0, 3
org.apache.batik.css.parser.CSSSACMediaList, length, 4742, 3, 5, 8
org.apache.batik.css.parser.CSSSACMediaList, list, 6, 8, 8, 8
org.apache.batik.dom.svg.SVGOMDocument, referrer, 0, 3, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, localizableSupport, 0, 3, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, documentURI, 20, 6, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, readonly, 23, 0, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, implementation, 2821, 0, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, mainAnimatedAttributeListener, 12493, 3, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, cssNavigableDocumentListeners, 3, 3, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, animatedAttributeListeners, 3, 3, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, url, 3, 6, 3, 3
org.apache.batik.dom.svg.SVGOMDocument, isSVG12, 6, 0, 3, 3
org.apache.batik.dom.svg.SVGOMPathElement, d, 1870, 2037, 2037, 2037
org.apache.crimson.jaxp.SAXParserFactoryImpl, features, 3, 0, 1, 1
org.apache.batik.dom.svg.SVGOMFEMorphologyElement, in, 0, 1, 1, 1
org.apache.batik.dom.svg.SVGOMFEMorphologyElement, operator, 0, 1, 1, 1
org.apache.batik.dom.svg.AbstractSVGPreserveAspectRatio$PreserveAspectRatioParserHandler, meetOrSlice, 5, 10, 5, 5
org.apache.batik.dom.svg.AbstractSVGPreserveAspectRatio$PreserveAspectRatioParserHandler, this$0, 0, 5, 5, 5
org.apache.batik.dom.svg.AbstractSVGPreserveAspectRatio$PreserveAspectRatioParserHandler, align, 5, 10, 5, 5
org.apache.batik.bridge.UserAgentViewport, userAgent, 0, 3, 3, 3
org.apache.batik.gvt.TextNode, primitiveBounds, 864, 1282, 212, 212
org.apache.batik.gvt.TextNode, outline, 0, 1072, 212, 212
org.apache.batik.gvt.TextNode, textPainter, 420, 212, 212, 212
org.apache.batik.gvt.TextNode, aci, 634, 212, 212, 212
org.apache.batik.gvt.TextNode, endMark, 0, 212, 212, 212
org.apache.batik.gvt.TextNode, textRuns, 630, 422, 212, 212
org.apache.batik.gvt.TextNode, location, 210, 424, 212, 212
org.apache.batik.gvt.TextNode, text, 0, 212, 212, 212
org.apache.batik.gvt.TextNode, beginMark, 0, 212, 212, 212
org.apache.batik.gvt.TextNode, geometryBounds, 0, 1072, 212, 212
org.dacapo.parser.Config$ThreadModel, description, 0, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, currentRaster, 3, 9, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, lastCache, 3, 6, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, isDoubleBuffered, 3, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, usr2dev, 9, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, offScreenWidth, 6, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, renderingHints, 6, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, rootCR, 27, 9, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, currentOffScreen, 6, 9, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, workingRaster, 12, 9, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, workingOffScreen, 6, 9, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, rootGN, 6, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, currentBaseRaster, 3, 6, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, workingBaseRaster, 15, 6, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, offScreenHeight, 6, 3, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, x, 8, 0, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, width, 2, 0, 1, 3
org.apache.batik.gvt.renderer.StaticRenderer, rootFilter, 6, 6, 3, 3
org.apache.batik.gvt.renderer.StaticRenderer, y, 2, 0, 1, 3
org.apache.batik.gvt.renderer.StaticRenderer, lastCR, 3, 3, 3, 3
org.apache.batik.dom.svg.SVGOMAnimatedNumberList$BaseSVGNumberList, valid, 210, 210, 210, 210
org.apache.batik.dom.svg.SVGOMAnimatedNumberList$BaseSVGNumberList, localName, 210, 0, 210, 210
org.apache.batik.dom.svg.SVGOMAnimatedNumberList$BaseSVGNumberList, emptyAllowed, 210, 0, 210, 210
org.apache.batik.dom.svg.SVGOMAnimatedNumberList$BaseSVGNumberList, defaultValue, 210, 0, 210, 210
org.apache.batik.dom.svg.SVGOMAnimatedNumberList$BaseSVGNumberList, this$0, 1050, 210, 210, 210
org.apache.batik.dom.svg.SVGOMAnimatedNumberList$BaseSVGNumberList, namespaceURI, 210, 0, 210, 210
org.apache.batik.dom.svg.SVGOMAnimatedNumberList$BaseSVGNumberList, itemList, 0, 210, 210, 210
org.apache.batik.dom.svg.SVGOMAnimatedNumberList$BaseSVGNumberList, element, 210, 0, 210, 210
org.apache.batik.css.engine.CSSEngine$DocumentAdapter, this$0, 0, 0, 0, 9
org.apache.batik.css.engine.CSSEngine$DocumentAdapter, styleMap, 0, 0, 0, 9
org.apache.batik.dom.svg.AbstractSVGAnimatedValue, localName, 7559, 12521, 12520, 12520
org.apache.batik.dom.svg.AbstractSVGAnimatedValue, listeners, 30015, 12521, 12520, 12520
org.apache.batik.dom.svg.AbstractSVGAnimatedValue, hasAnimVal, 2586, 0, 2586, 12520
org.apache.batik.dom.svg.AbstractSVGAnimatedValue, namespaceURI, 7559, 12521, 12520, 12520
org.apache.batik.dom.svg.AbstractSVGAnimatedValue, animVal, 0, 0, 0, 12520
org.apache.batik.dom.svg.AbstractSVGAnimatedValue, element, 17505, 12521, 12520, 12520
org.apache.batik.ext.awt.image.renderable.ComponentTransferRable8Bit, txfFunc, 9, 1, 1, 1
org.apache.batik.ext.awt.image.renderable.ComponentTransferRable8Bit, functions, 13, 1, 1, 1
org.apache.batik.dom.svg.SVGStylableElement$OverrideStyleDeclaration, this$0, 0, 2383, 2383, 2383
org.apache.batik.dom.svg.SVGStylableElement$OverrideStyleDeclaration, declaration, 0, 2383, 2383, 2383
org.apache.batik.ext.awt.geom.PathLength$PathSegment, segType, 508, 1353, 1353, 1353
org.apache.batik.ext.awt.geom.PathLength$PathSegment, x, 635, 1353, 1353, 1353
org.apache.batik.ext.awt.geom.PathLength$PathSegment, length, 15519, 1353, 1353, 1353
org.apache.batik.ext.awt.geom.PathLength$PathSegment, y, 635, 1353, 1353, 1353
org.apache.batik.ext.awt.geom.PathLength$PathSegment, index, 0, 1353, 1353, 1353
org.apache.batik.css.parser.Parser, localizableSupport, 0, 3, 3, 3
org.apache.batik.css.parser.Parser, current, 8630, 2307, 3, 3
org.apache.batik.css.parser.Parser, documentURI, 5, 7, 3, 3
org.apache.batik.css.parser.Parser, documentHandler, 615, 45, 3, 3
org.apache.batik.css.parser.Parser, selectorFactory, 272, 45, 3, 3
org.apache.batik.css.parser.Parser, scanner, 5659, 106, 3, 3
org.apache.batik.css.parser.Parser, conditionFactory, 127, 45, 3, 3
org.apache.batik.css.parser.Parser, errorHandler, 0, 3, 3, 3
org.apache.batik.css.parser.Parser, pseudoElement, 145, 145, 3, 3
org.apache.batik.transcoder.TranscoderSupport, handler, 0, 1, 1, 1
org.apache.batik.transcoder.TranscoderSupport, hints, 4, 1, 1, 1
org.apache.batik.css.engine.value.ComputedValue, computedValue, 465, 214, 214, 214
org.apache.batik.css.engine.value.ComputedValue, cascadedValue, 0, 214, 214, 214
org.apache.batik.ext.awt.image.rendered.TileMap$TileMapLRUMember$RasterSoftRef, this$0, 0, 62, 62, 62
org.apache.batik.bridge.SVGImageElementBridge, hitCheckChildren, 5, 8, 3, 3
org.apache.batik.bridge.SVGImageElementBridge, listener, 0, 3, 3, 3
org.apache.batik.bridge.SVGImageElementBridge, subCtx, 0, 3, 3, 3
org.apache.batik.bridge.SVGImageElementBridge, imgDocument, 0, 0, 0, 3
org.apache.batik.gvt.RootGraphicsNode, treeGraphicsNodeChangeListeners, 27076, 6, 3, 3
org.apache.batik.dom.svg.SVGOMFontElement, externalResourcesRequired, 0, 4, 4, 4
org.apache.batik.dom.svg.SVGOMElement, externalResourcesRequired, 0, 0, 0, 2821
org.apache.batik.dom.svg.SVGOMElement, readonly, 8795, 0, 2821, 2821
org.apache.batik.dom.svg.SVGOMElement, prefix, 31414, 2821, 2821, 2821
org.apache.batik.dom.svg.SVGOMElement, x, 0, 0, 0, 2821
org.apache.batik.dom.svg.SVGOMElement, width, 0, 0, 0, 2821
org.apache.batik.dom.svg.SVGOMElement, preserveAspectRatio, 0, 0, 0, 2821
org.apache.batik.dom.svg.SVGOMElement, y, 0, 0, 0, 2821
org.apache.batik.dom.svg.SVGOMElement, targetListeners, 4973, 0, 2400, 2821
org.apache.batik.dom.svg.SVGOMElement, svgContext, 8, 4739, 2379, 2821
org.apache.batik.dom.svg.SVGOMElement, liveAttributeValues, 12159, 0, 2815, 2821
org.apache.batik.dom.svg.SVGOMElement, ownerDocument, 12159, 0, 2815, 2821
org.apache.batik.dom.svg.SVGOMElement, height, 0, 0, 0, 2821
org.apache.batik.css.engine.CSSEngine$1, valueManagers, 10, 0, 6, 2383
org.apache.batik.css.engine.CSSEngine$1, val$result, 10, 2383, 2383, 2383
org.apache.batik.css.engine.CSSEngine$1, this$0, 40, 2383, 2383, 2383
jdk.internal.org.objectweb.asm.ClassVisitor, superName, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, key2, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, computeFrames, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, access, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, signature, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, key3, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, key4, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, sourceDebug, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, threshold, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, sourceFile, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, bootstrapMethodsCount, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, interfaceCount, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, lastMethod, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, api, 0, 76, 76, 76
jdk.internal.org.objectweb.asm.ClassVisitor, innerClassesCount, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, invalidFrames, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, typeCount, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, key, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, anns, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, lastField, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, itanns, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, bootstrapMethods, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, interfaces, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, typeTable, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, pool, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, index, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, computeMaxs, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, enclosingMethod, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, version, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, firstMethod, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, ianns, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, cr, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, attrs, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, firstField, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, cv, 0, 76, 76, 76
jdk.internal.org.objectweb.asm.ClassVisitor, tanns, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, name, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, enclosingMethodOwner, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, items, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, thisName, 0, 0, 0, 76
jdk.internal.org.objectweb.asm.ClassVisitor, innerClasses, 0, 0, 0, 76
org.apache.batik.ext.awt.image.rendered.PadRed$ZeroRecter, pixels, 0, 0, 0, 16
org.apache.batik.ext.awt.image.rendered.PadRed$ZeroRecter, y0, 0, 0, 0, 16
org.apache.batik.ext.awt.image.rendered.PadRed$ZeroRecter, scanStride, 0, 0, 0, 16
org.apache.batik.ext.awt.image.rendered.PadRed$ZeroRecter, x0, 0, 0, 0, 16
org.apache.batik.ext.awt.image.rendered.PadRed$ZeroRecter, wr, 0, 16, 16, 16
org.apache.batik.ext.awt.image.rendered.PadRed$ZeroRecter, bands, 0, 16, 16, 16
org.apache.batik.ext.awt.image.rendered.PadRed$ZeroRecter, zeros, 0, 0, 0, 16
org.apache.batik.ext.awt.image.rendered.PadRed$ZeroRecter, base, 0, 0, 0, 16
org.apache.batik.dom.svg.SVGOMRectElement, rx, 83, 28, 28, 28
org.apache.batik.dom.svg.SVGOMRectElement, ry, 83, 28, 28, 28
org.apache.batik.dom.svg.SVGOMRectElement, x, 27, 28, 28, 28
org.apache.batik.dom.svg.SVGOMRectElement, width, 27, 28, 28, 28
org.apache.batik.dom.svg.SVGOMRectElement, y, 27, 28, 28, 28
org.apache.batik.dom.svg.SVGOMRectElement, liveAttributeValues, 56, 0, 28, 28
org.apache.batik.dom.svg.SVGOMRectElement, ownerDocument, 28, 0, 28, 28
org.apache.batik.dom.svg.SVGOMRectElement, height, 27, 28, 28, 28
org.apache.batik.util.AbstractParsedURLProtocolHandler, protocol, 4, 3, 3, 3
org.apache.batik.css.parser.CSSLexicalUnit$IntegerLexicalUnit, value, 306, 306, 306, 306
org.apache.batik.bridge.AbstractGraphicsNodeBridge, node, 0, 4725, 20, 51
org.apache.batik.bridge.AbstractGraphicsNodeBridge, e, 4711, 4725, 20, 51
org.apache.batik.bridge.AbstractGraphicsNodeBridge, ctx, 8, 4725, 20, 51
org.apache.batik.bridge.AbstractGraphicsNodeBridge, unitContext, 0, 4725, 20, 51
org.apache.batik.bridge.AbstractGraphicsNodeBridge, bbox, 0, 51, 51, 51
org.apache.batik.bridge.AbstractGraphicsNodeBridge, bboxShape, 0, 51, 51, 51
org.apache.batik.bridge.AbstractGraphicsNodeBridge, cl, 0, 0, 0, 51
org.apache.batik.bridge.AbstractGraphicsNodeBridge, bl, 0, 0, 0, 51
